valid_kst,city,model,run_utc,step_h,lead_day,var,fcst,obs,err
2026-08-14 15:00:00,서울,GFS,2026-08-13 18:00:00,12,0,dswrf,328.0,,
2026-08-14 15:00:00,서울,GFS,2026-08-13 18:00:00,12,0,t2m,31.1,,
2026-08-14 15:00:00,서울,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 15:00:00,수원,ECMWF,2026-08-13 12:00:00,18,0,t2m,30.6,,
2026-08-14 15:00:00,수원,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,수원,GFS,2026-08-13 18:00:00,12,0,dswrf,530.0,,
2026-08-14 15:00:00,수원,GFS,2026-08-13 18:00:00,12,0,t2m,31.4,,
2026-08-14 15:00:00,수원,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 15:00:00,인천,ECMWF,2026-08-13 12:00:00,18,0,t2m,32.5,,
2026-08-14 15:00:00,인천,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,인천,GFS,2026-08-13 18:00:00,12,0,dswrf,284.0,,
2026-08-14 15:00:00,인천,GFS,2026-08-13 18:00:00,12,0,t2m,29.9,,
2026-08-14 15:00:00,인천,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 15:00:00,전주,ECMWF,2026-08-13 12:00:00,18,0,t2m,29.1,,
2026-08-14 15:00:00,전주,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,전주,GFS,2026-08-13 18:00:00,12,0,dswrf,559.0,,
2026-08-14 15:00:00,전주,GFS,2026-08-13 18:00:00,12,0,t2m,28.2,,
2026-08-14 15:00:00,전주,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 15:00:00,제주,ECMWF,2026-08-13 12:00:00,18,0,t2m,24.7,,
2026-08-14 15:00:00,제주,ECMWF,2026-08-13 12:00:00,18,0,tcc,100.0,,
2026-08-14 15:00:00,제주,GFS,2026-08-13 18:00:00,12,0,dswrf,464.0,,
2026-08-14 15:00:00,제주,GFS,2026-08-13 18:00:00,12,0,t2m,25.4,,
2026-08-14 15:00:00,제주,GFS,2026-08-13 18:00:00,12,0,tcc,100.0,,
2026-08-14 18:00:00,강릉,ECMWF,2026-08-13 12:00:00,21,0,t2m,24.8,,
2026-08-14 18:00:00,강릉,ECMWF,2026-08-13 12:00:00,21,0,tcc,100.0,,
2026-08-14 18:00:00,강릉,GFS,2026-08-13 18:00:00,15,0,dswrf,292.0,,
2026-08-14 18:00:00,강릉,GFS,2026-08-13 18:00:00,15,0,t2m,24.2,,
2026-08-14 18:00:00,강릉,GFS,2026-08-13 18:00:00,15,0,tcc,100.0,,
2026-08-14 18:00:00,광주,ECMWF,2026-08-13 12:00:00,21,0,t2m,29.6,,
